en,es,de,nl,fr,it,ru,sv,pt,ar,da,no,pl,cy,et,ro,tr,hu,fi,hr,el,ca,sq,hy,az,be,bs,bg,cs,ka,is,lv,lt,mk,sr,sk,sl,uk
riots,disturbios,Ausschreitungen,rellen,émeutes,sommosse,массовые беспорядки,kravaller,motins,أعمال الشغب,optøjer,opptøyer,zamieszki,terfysgoedd,rahutused,dezordine,ayaklanmalar,zavargások,mellakat,nemiri,ταραχές,disturbis,trazirat,զանգվածային անկարգություններ,iğtişaşlar,масавыя беспарадкі,nemiri,бунтове,nepokoje,არეულობების,uppþot,nemieri,riaušės,немирите,немири,nepokoje,nemiri,масові заворушення
opposition,oposición,Opposition,oppositie,opposition,opposizione,оппозиция,opposition,oposição,معارضة,modstand,motstand,sprzeciw,gwrthwynebiad,vastuseis,opoziţie,muhalefet,ellenzék,oppositio,opozicija,αντιπολίτευση,oposició,opozitë,ընդդիմություն,müxalifət,апазіцыя,opozicija,опозиция,odpor,ოპოზიციის,Stjórnarandstaðan,opozīcija,opozicija,опозицијата,опозиција,odpor,opozicija,опозиція
arab,árabe,Araber,Arabisch,arabe,arabo,араб,arab,árabe,عرب,arab,arab,Arab,arab,araabia,arab,Arap,arab,arabi,arapski,Άραβας,àrab,arab,արաբական,ərəb,араб,arapski,арабски,Arab,arab,spjall,arābu,arabų,арапските,арапски,arab,arab,араб
islamic,islámico,islamisch,Islamitisch,islamique,islamico,исламский,islamic,islâmico,الإسلامية,islamisk,islamsk,islamski,Islamaidd,islami,islamica,islam,iszlám,islamilainen,islamski,ισλαμικό,islàmic,islamik,իսլամական,islamic,ісламскі,islamski,ислямски,islámský,islamic,islamic,islamic,islamo,исламски,исламски,islamský,islamic,ісламський
islamist,islamista,islamist,islamist,islamiste,islamista,исламист,islamistiska,islamist,الاسلامية,islamist,islamis,islamistyczne,Islamaidd,islami,islamistă,islamcının,iszlámista,islamistinen,islamistički,ισλαμιστές,islamista,islamist,իսլամիստական,islamçı,ісламіст,islamista,ислямистка,islamistické,ისლამისტურ,Íslamista,islāma,islamistų,исламистички,исламистичка,islamistickej,islamski,ісламіст
overthrow,derrocamiento,Sturz,omverwerping,renverser,rovesciare,опрокинуть,störta,derrubar,قلب,styrte,styrte,obalenie,ddymchwel,kukutada,răsturna,devirmek,megdönteni,kaataa,svrgnuti,ανατροπή,enderrocar,përmbysur,տապալել,devirmək,перакуліць,zbaci,свалянето,svržení,დამხობა,steypa,gāzt,nuversti,соборат,свргнути,zvrhnutie,strmoglavljenje,перекинути
dismissal,despido,Entlassung,ontslag,congédiement,licenziamento,увольнение,uppsägning,demissão,إقالة,afskedigelse,avskjedigelse,zwolnienie,diswyddo,vallandamine,concediere,işten çıkarma,elbocsátás,hylkääminen,otkaz,απόλυση,acomiadament,shkarkim,հեռացնելը,vəzifədən,звальненне,otpuštanje,уволнение,propuštění,გათავისუფლების,uppsögnum,atlaišana,atleidimas,разрешување,отпуштање,výpoveď,razrešitev,звільнення
dismissals,despidos,Entlassungen,ontslagen,licenciements,licenziamenti,увольнения,uppsägning,demissões,الفصل,afskedigelser,oppsigelser,zwolnienia,diswyddiadau,vallandamiste,demiteri,görevden almalar,elbocsátásokat,irtisanomiset,otpuštanja,απολύσεις,acomiadaments,shkarkimet,պաշտոնանկություններ,işdən,звальнення,otpuštanja,уволнения,propouštění,სამსახურიდან გათავისუფლება,uppsagnir,atlaišana,atleidimo,отпуштања,отпуштања,prepúšťanie,odpuščanje,звільнення
protest,protesta,Protest,protest,protestation,protesta,протест,protest,protesto,وقفة احتجاجية,protest,protest,protest,protest,protest,protest,protesto,tiltakozás,protesti,protest,διαμαρτυρία,protesta,protestë,բողոք,etiraz,пратэст,protest,протест,protest,საპროტესტო,mótmæli,protests,protestuoti,протест,Протест,protest,protest,протест
protests,protestas,Proteste,protesten,manifestations,proteste,протесты,protester,protestos,الاحتجاجات,protester,protester,protesty,protestiadau,protestide,proteste,protestolar,tiltakozik,protestit,prosvjedi,διαδηλώσεις,protestes,protestat,բողոքի ցույցերը,etiraz,пратэсты,protesti,протести,protesty,საპროტესტო აქციები,mótmæli,protests,protestai,протести,протести,protesty,protesti,протести
